activity	subject	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tBodyAcc-mean()-Z	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyGyro-mean()-X	tBodyGyro-mean()-Y	tBodyGyro-mean()-Z	tBodyGyro-std()-X	tBodyGyro-std()-Y	tBodyGyro-std()-Z	tBodyGyroJerk-mean()-X	tBodyGyroJerk-mean()-Y	tBodyGyroJerk-mean()-Z	tBodyGyroJerk-std()-X	tBodyGyroJerk-std()-Y	tBodyGyroJerk-std()-Z	tBodyAccMag-mean()	tBodyAccMag-std()	tGravityAccMag-mean()	tGravityAccMag-std()	tBodyAccJerkMag-mean()	tBodyAccJerkMag-std()	tBodyGyroMag-mean()	tBodyGyroMag-std()	tBodyGyroJerkMag-mean()	tBodyGyroJerkMag-std()	fBodyAcc-mean()-X	fBodyAcc-mean()-Y	fBodyAcc-mean()-Z	fBodyAcc-std()-X	fBodyAcc-std()-Y	fBodyAcc-std()-Z	fBodyAcc-meanFreq()-X	fBodyAcc-meanFreq()-Y	fBodyAcc-meanFreq()-Z	fBodyAccJerk-mean()-X	fBodyAccJerk-mean()-Y	fBodyAccJerk-mean()-Z	fBodyAccJerk-std()-X	fBodyAccJerk-std()-Y	fBodyAccJerk-std()-Z	fBodyAccJerk-meanFreq()-X	fBodyAccJerk-meanFreq()-Y	fBodyAccJerk-meanFreq()-Z	fBodyGyro-mean()-X	fBodyGyro-mean()-Y	fBodyGyro-mean()-Z	fBodyGyro-std()-X	fBodyGyro-std()-Y	fBodyGyro-std()-Z	fBodyGyro-meanFreq()-X	fBodyGyro-meanFreq()-Y	fBodyGyro-meanFreq()-Z	fBodyAccMag-mean()	fBodyAccMag-std()	fBodyAccMag-meanFreq()	fBodyBodyAccJerkMag-mean()	fBodyBodyAccJerkMag-std()	fBodyBodyAccJerkMag-meanFreq()	fBodyBodyGyroMag-mean()	fBodyBodyGyroMag-std()	fBodyBodyGyroMag-meanFreq()	fBodyBodyGyroJerkMag-mean()	fBodyBodyGyroJerkMag-std()	fBodyBodyGyroJerkMag-meanFreq()
SITTING	1	0.261237565425532	-0.00130828765170213	-0.104544182255319	-0.977229008297872	-0.922618641914894	-0.93958629106383	0.831509933404255	0.204411592680851	0.332043702765957	-0.968457145744681	-0.935517055957447	-0.949040933191489	0.0774825199574468	-0.000619102785106384	-0.00336779235021277	-0.986430711276596	-0.981371965319149	-0.987910804468085	-0.045350056512766	-0.0919241549361702	0.0629313811914894	-0.977211283191489	-0.966473895319149	-0.941425920851064	-0.0936793807234043	-0.0402118124255319	-0.046702627	-0.99173159212766	-0.989518068510638	-0.987935806382979	-0.948536786170213	-0.927078418723404	-0.948536786170213	-0.927078418723404	-0.987364195531915	-0.984120024042553	-0.93089249	-0.934531840425532	-0.991976341276596	-0.988308728510638	-0.979641238723404	-0.944084550425532	-0.959184889148936	-0.976412313191489	-0.917275006382979	-0.934469558085106	-0.0495135975489362	0.0759460768510638	0.238829870148936	-0.986597022553191	-0.981579467021277	-0.986053092340425	-0.987492994468085	-0.982513909574468	-0.988339184893617	0.256610823568085	0.0475437839595745	0.0923920032553192	-0.976161464042553	-0.975838585319149	-0.951315544468085	-0.977904227021277	-0.962345042553192	-0.94391784106383	0.189153021260851	0.0631270669787234	-0.0297839207446809	-0.947782922553192	-0.928444801702128	0.236655011680851	-0.985262126808511	-0.981606177446808	0.351852201957447	-0.958435589361702	-0.932198374893617	-0.000262186717021277	-0.989797547234043	-0.987049617234043	0.184775928085106
STANDING	1	0.278917629056604	-0.0161375901037736	-0.110601817735849	-0.995759901509434	-0.973190056415094	-0.979775876981132	0.942952000377358	-0.272983832264151	0.0134905823226415	-0.99376298509434	-0.981225957924528	-0.976324063584906	0.0753766542264151	0.00797573092830189	-0.00368524954709434	-0.994604542264151	-0.98564873245283	-0.992251177358491	-0.0239877347979245	-0.0593972209811321	0.074800751	-0.987191946603774	-0.98773444	-0.980645626981132	-0.0996092129056604	-0.0440627877924528	-0.0489505466716981	-0.992945106981132	-0.995137917358491	-0.992108467169811	-0.984278207358491	-0.981942928867925	-0.984278207358491	-0.981942928867925	-0.992367790566038	-0.993096209433962	-0.976493792830189	-0.978690028679245	-0.994966790566038	-0.994733238679245	-0.995249932641509	-0.977070847735849	-0.985297098679245	-0.99602834509434	-0.972293102075472	-0.977937259622642	0.0865153619088679	0.117478948718868	0.244858585792453	-0.994630797358491	-0.985418704528302	-0.990752166037736	-0.995073759245283	-0.987018226792453	-0.992349818113208	0.314182940150943	0.0391618954943396	0.138581478749057	-0.986386786037736	-0.988984455849057	-0.980773122830189	-0.987497128679245	-0.987107727735849	-0.98234533	-0.120293020603774	-0.0447191978169811	0.100607635139623	-0.985356361132075	-0.982313804716981	0.284555290773585	-0.99254247754717	-0.992536003396226	0.422220102264151	-0.984617623396226	-0.978466072075472	-0.0286057725328302	-0.994815376981132	-0.994671123207547	0.334498734301887
WALKING	1	0.258112650186207	-0.0253597271142759	-0.11185687942069	-0.505918262413793	-0.213569264068966	-0.455211867526897	0.526911132593103	0.058426287262069	0.109111130413793	-0.949099427310345	-0.949379770193103	-0.914837593041379	0.0764709094827586	0.0198466249057931	0.00100491883551724	-0.404948881595862	-0.274773973151724	-0.658615416896552	-0.0331144567853103	-0.0677907627206897	0.106925720392414	-0.611469410696552	-0.363739724363103	-0.538755606413793	-0.0959538895503448	-0.0404202557544828	-0.0557582369496552	-0.452658636151724	-0.533240487517241	-0.595129489517241	-0.380060133778621	-0.418121824331035	-0.380060133778621	-0.418121824331035	-0.4217624144	-0.368876535696138	-0.407110585455172	-0.404920366331034	-0.527930351813793	-0.535847673344828	-0.456692494627586	-0.240210698281379	-0.521596931034483	-0.527859793724138	-0.250741221756069	-0.463550478372414	-0.190736062775172	0.107728541097241	0.0634200146526897	-0.441763143601448	-0.341169346763731	-0.634192907241379	-0.41999146917931	-0.251521428221241	-0.681566387586207	-0.0914409162131034	-0.24459894936	-0.113144685891034	-0.515313913484828	-0.395863581388276	-0.481238106068965	-0.642762460137931	-0.349964673447586	-0.602086462206897	0.00846336262137931	-0.0746554851668966	0.00411290918351724	-0.381431794584828	-0.536056157034483	0.154700565275862	-0.359250765815586	-0.385668807346207	0.153328723274207	-0.42785174706	-0.494570190372414	0.127941132965241	-0.534156301648276	-0.571622172413793	0.185774641306207
WALKING_DOWNSTAIRS	1	0.289188320408163	-0.00991850461020408	-0.107566190908163	0.0300353383483878	-0.0319359434489796	-0.230434213204082	0.931874418979592	-0.266610338979592	-0.0621199585938775	-0.950559811632653	-0.937018658979592	-0.895939695102041	0.0541553164897959	0.0296504490408163	-0.0109719730183673	-0.012283860544898	-0.101601390640816	-0.345735032326531	-0.0350781902989796	-0.0909371290204082	0.0900850142030612	-0.458030542938775	-0.126349194938775	-0.124702454242857	-0.0739592036271429	-0.0439902783367347	-0.0270461061061224	-0.487027342244898	-0.238824827530612	-0.268761480242857	0.0271882914106122	0.0198843506265306	0.0271882914106122	0.0198843506265306	-0.0894474807979592	-0.0257877197081633	-0.0757412543673469	-0.225724368061224	-0.295463843346939	-0.306510645530612	0.0382291831510204	0.00154990783591837	-0.225574471693878	0.0243308391387755	-0.112963739953061	-0.297927894693878	-0.307395198687755	0.0632200839346939	0.294322700810612	-0.0276638676122449	-0.12866715764898	-0.288334735714286	-0.0863278966402041	-0.134580008877551	-0.401721464285714	-0.253164344918367	-0.33758970122449	0.00937223889183673	-0.352449631363265	-0.0557022524693878	-0.0318694271979592	-0.495422486102041	-0.181414728657143	-0.238443565306122	-0.100453729040816	0.0825511487183673	-0.0756762067714286	0.0965845343040816	-0.186530301073469	0.119187142767959	0.0262184949326531	-0.104052260726531	0.0764915474326531	-0.185720285744898	-0.398350390122449	0.349613895469388	-0.281963359177551	-0.391919876612245	0.190000706165102
WALKING_UPSTAIRS	1	0.255461689622641	-0.0239531492643396	-0.0973020020943396	-0.35470802509434	-0.00232026501698113	-0.0194792388471698	0.89335109754717	-0.362153364339623	-0.075402939754717	-0.956367027924528	-0.952849233207547	-0.912379410377358	0.101372729922642	0.0194863076188679	-0.0455625449113208	-0.446843887735849	-0.378274426037736	-0.706593530943396	0.050549379754717	-0.166170015088679	0.0583595463981132	-0.544871104528302	0.00410518379811321	-0.50716867490566	-0.122232768011321	-0.0421485884509434	-0.0407125527654717	-0.614786508490566	-0.601696656226415	-0.606332002264151	-0.129927630735849	-0.324970929245283	-0.129927630735849	-0.324970929245283	-0.466503446226415	-0.478991622075472	-0.126735589969811	-0.14861931805283	-0.59488286509434	-0.648553044339623	-0.404321784150943	-0.190976720811321	-0.433349702075472	-0.337428188679245	0.0217695106566038	0.0859565543849057	-0.418735000377359	-0.160697213516981	-0.520114793584906	-0.479875245660377	-0.41344458754717	-0.685474353962264	-0.461907025849057	-0.381777065283019	-0.726040200754717	-0.377023128301887	-0.509495531698113	-0.551104284150943	-0.492611667924528	-0.319474609056604	-0.453597213018868	-0.565892490754717	0.151538905566038	-0.57170784	-0.187450247737736	-0.473574786603774	-0.133373904258491	-0.352395944716981	-0.416260101509434	-0.0977433496415094	-0.44265216245283	-0.533059853773585	0.085352409154717	-0.325961457396226	-0.182985518264151	-0.219303376110566	-0.634665082075472	-0.693930521509434	0.114277342454717
SITTING	2	0.27708735173913	-0.0156879937282609	-0.109218272456522	-0.986822279565217	-0.950704499130435	-0.95982817173913	0.940477273043478	-0.105630024498783	0.19872676876087	-0.979988760869565	-0.956750273043478	-0.954415873043478	0.0722564387173913	0.0116954511323913	0.00760546929869565	-0.988055854130435	-0.977983955434783	-0.98751821173913	-0.0454706620434783	-0.0599286797043478	0.0412277462173913	-0.985742027826087	-0.978919526956522	-0.959803708695652	-0.0936328412826087	-0.0415602029130435	-0.04358509665	-0.989709023043478	-0.990889614782609	-0.985542325652174	-0.967893623913043	-0.953081444130435	-0.967893623913043	-0.953081444130435	-0.986774713043478	-0.984475868043478	-0.946035087173913	-0.961313624130435	-0.991081493913043	-0.989594919565217	-0.985803840652174	-0.957343498478261	-0.970162172608696	-0.98736209	-0.950073754130435	-0.956862864130435	0.08519282071	0.150193956163043	0.0960646759586957	-0.987848793695652	-0.977139702826087	-0.985129050217391	-0.989459107391304	-0.980804228478261	-0.988570804130435	0.305546818084783	0.0262448647134783	0.0929030630369565	-0.982621389565217	-0.982100923695652	-0.959814822391304	-0.986808501521739	-0.977356188695652	-0.963522659782609	0.130523120891304	-0.192142737913043	0.0409472348676087	-0.96127374826087	-0.955575602173913	0.130934202854348	-0.983874698913043	-0.984124185869565	0.280062423956522	-0.971840596086956	-0.961385745217391	-0.106358909173913	-0.989861950869565	-0.989632908913043	0.1947221493
STANDING	2	0.277911472222222	-0.0184208270166667	-0.105908536055556	-0.987271889259259	-0.957304989259259	-0.949741851296296	0.896928566851852	-0.370062696851852	0.129747161222222	-0.986685818703704	-0.97419442037037	-0.945927078703704	0.0747588597592593	0.0103291774794444	-0.00837158846722222	-0.981085715555556	-0.97105943962963	-0.982841446481482	-0.0238623875712963	-0.0820396577592593	0.0878351695481481	-0.972998629814815	-0.971441996481481	-0.964856701851852	-0.105562157888889	-0.042241953537037	-0.0546539479425926	-0.979324000740741	-0.983447258518519	-0.973610118333333	-0.965875181296296	-0.957874965	-0.965875181296296	-0.957874965	-0.980489077407407	-0.976675280185185	-0.963466341851852	-0.95394338037037	-0.983951904259259	-0.977204427777778	-0.983946739814815	-0.959871697407407	-0.962471195740741	-0.989056469814815	-0.957908842222222	-0.946433583518518	0.108519182924074	0.0623378066683333	0.104462499601852	-0.980973241666667	-0.970851337962963	-0.979775152037037	-0.983007923703704	-0.973520241111111	-0.984599905185185	0.331449281481482	-0.0569368291814815	0.0396498183462963	-0.967037112037037	-0.972576152962963	-0.960627696111111	-0.97498812462963	-0.97103605037037	-0.969754295740741	-0.107416045074074	-0.171160370096296	0.000226810610740739	-0.964052166481482	-0.960519381481482	0.119649963903704	-0.977065295555556	-0.97516046	0.304871865218519	-0.961775904814815	-0.956788725740741	-0.0661266045796296	-0.977849827407407	-0.977754298148148	0.160662823925926
WALKING	2	0.27864571953271	-0.0183992503117757	-0.106283274953271	-0.670558708224299	-0.482810271826168	-0.676013011401869	0.274764665794393	0.146466732523364	0.336887592149533	-0.966556935233645	-0.979337060093458	-0.977526711028037	0.0711340576079439	0.0155601556400935	0.0035448386635514	-0.595291227986916	-0.450203868418692	-0.766584592616822	-0.0375271051621495	-0.0767522920560748	0.110668810738318	-0.752978282897196	-0.737558538598131	-0.696063191308411	-0.0908960343364486	-0.045768220511215	-0.0598756964981308	-0.660362250654206	-0.793584369626168	-0.683362498878505	-0.598607021682243	-0.66942106364486	-0.598607021682243	-0.66942106364486	-0.598276883074766	-0.532614726939252	-0.672401418878505	-0.736112613551402	-0.747024529252336	-0.751556630841121	-0.628968638971963	-0.451615195790654	-0.691821149065421	-0.688946381121495	-0.533394079962617	-0.69278627588785	-0.146103812494393	0.224920522130841	0.218566675619626	-0.610199610560748	-0.484298663140187	-0.748410358224299	-0.616191430102804	-0.450318121761682	-0.783425895420561	0.0315972002115514	-0.0909622310317757	-0.0550387422018692	-0.679456013738318	-0.74701862728972	-0.650571823738318	-0.776677019158879	-0.73440635317757	-0.740784150841121	0.0500452751728972	-0.00457834503831776	0.101866425570093	-0.616246408205607	-0.755654524392523	0.336275518598131	-0.535259386224299	-0.532156202593458	0.267728656556075	-0.728719689345794	-0.79054672635514	0.17666205941215	-0.765828467476635	-0.751624452616822	0.188456116924579
WALKING_DOWNSTAIRS	2	0.27761534806383	-0.0226614158361702	-0.116812942382979	0.0463666814446808	0.262881788951064	-0.10283790806383	0.861831345531915	-0.325780100638298	-0.0438890162723404	-0.940361759574468	-0.940068525531915	-0.931438313191489	0.110040615569574	-0.00327959081489362	-0.0209351677765957	0.147249143238298	0.126828014557447	-0.340122023191489	-0.11594735287234	-0.00482329231914894	0.097173808906383	-0.320789230008511	-0.415739144893617	-0.279418388042553	-0.0581038498510638	-0.0421470257531915	-0.0710229816893617	-0.243940592553192	-0.469396701106383	-0.218266318606383	0.0899511204978723	0.215586334889362	0.0899511204978723	0.215586334889362	0.00565516335106383	0.22961718512766	-0.162188586930426	-0.274844110531915	-0.410872671489362	-0.343187875404255	0.112841160325532	0.278345041765957	-0.131290772	0.0161046198595745	0.171973972957447	-0.162032894287234	-0.273711609659574	0.0119309606468085	0.0903678546504255	0.138120681087234	0.0962091607617021	-0.271498721106383	0.0499590624829787	0.0808333491276596	-0.408227423191489	-0.143898149531915	-0.357514501744681	-0.234703932446809	-0.145775970406383	-0.361913824	-0.0874944736085106	-0.379436674361702	-0.458732747446809	-0.422987665106383	-0.0375298023191489	0.0770894557234043	0.1367749584	0.293424826591489	-0.0214787881723404	0.0938321297617021	0.222247409576596	0.227480732542553	0.0188355111404255	-0.320838543553191	-0.372576755361702	0.103971241706383	-0.380175306489362	-0.343698985425532	-0.0512479640553192
WALKING_UPSTAIRS	2	0.247164790395833	-0.0214121132045833	-0.152513899520833	-0.304376406458333	0.108027279889583	-0.112121021220833	0.790717418541667	-0.416214890416667	-0.195888238891667	-0.934407739791667	-0.92376745375	-0.878004056875	0.0744507839572917	-0.00970985514333333	0.01948143925	-0.276121886479167	-0.185648954220833	-0.5737463525	-0.0576912634583333	-0.0320883097395833	0.0688374021666667	-0.439253058958333	-0.466298336666667	-0.163995791679167	-0.0828858001333333	-0.0424053708458333	-0.0445157481625	-0.464854363125	-0.645491337708333	-0.467595961041667	-0.107322679520833	-0.205977045295833	-0.107322679520833	-0.205977045295833	-0.321268911041667	-0.21738939458125	-0.219713472958333	-0.377532167604167	-0.572816438541667	-0.597291719166667	-0.266720933270833	0.00992445881854167	-0.281001986202083	-0.320582414375	0.0848802791083333	-0.09454497643125	-0.281748011416667	-0.0618894458958333	-0.236589092316958	-0.258639439729167	-0.1878421317125	-0.522728063333333	-0.365415441458333	-0.243554146666667	-0.625090981458333	-0.0491142923541667	-0.287688885375	-0.374218484791667	-0.331643577458333	-0.488086123958333	-0.248601122	-0.476358845625	-0.459758488958333	-0.218072471479167	-0.115324433733333	-0.130357850675	-0.0773418117291667	-0.14531853915625	-0.36672824375	0.107680395229167	-0.189511136902083	-0.2604238389625	-0.0119168233583333	-0.450612184791667	-0.438620401875	-0.022752769044375	-0.60079849625	-0.621820202916667	0.0467433991041667
